j0 ,512,197
j1 ,596,234
j2 ,641,267
j3 ,667,301
j4 ,648,321
j5 ,683,379
j6 ,727,401
j7 ,747,435
j8 ,857,476
j9 ,378,552
j10,380,514
j11,416,503
j12,451,477
j13,505,482
j14,539,466
j15,592,478
j16,660,451
j17,696,430
j18,525,412
j19,584,312
j20,582,264
j21,589,263
j22,433,410
j23,462,368
j24,548,298
j25,548,264
j26,539,262
j27,542,246
j28,557,239
j29,561,234
j30,568,223
j31,503,216
j32,508,202
j33,493,198
j34,495,190
j35,492,341
j36,459,276
j37,477,239
j38,630,324
j39,625,338
j40,608,357
j41,629,472
j42,470,484
j43,527,479
j44,402,511
j45,620,370
j46,766,433
j47,270,230
j48,285,209
j49,288,190
j50,341,189
j51,345,181
j52,386,193
j53,217,247
j54,148,311
j55,140,343
j56,144,394
j57,176,377
j58,215,365
j59,250,354
j60,258,372
j61,254,412
j62,267,453
j63,286,476
j64,247,528
j65,248,243
j66,439,216
j67,421,238
j68,404,250
j69,423,326
j70,262,347
j71,302,320
j72,330,313
j73,383,293
j74,414,287
j75,334,378
j76,356,374
j77,402,366
j78,445,350
j79,162,389
